common_name,matches_played,Attack_Intelligence_Index
Germany,3,77.78062711482066
Bulgaria,3,69.9539157616577
Brazil,3,64.31985562824273
Morocco,4,56.432096935322754
Mexico,7,55.46957042957044
Republic of Ireland,3,54.86769359672585
Senegal,3,53.32995520608424
South Korea,4,51.41386355579905
Belgium,3,49.66622280944862
Switzerland,3,49.362290612613194
Spain,3,48.617068093197126
Algeria,3,48.58181689278464
France,3,47.21200090232349
Canada,4,46.5727047146402
Kenya,3,46.22369114756212
Montenegro,3,45.87775321452742
Colombia,3,44.96792111114692
Panama,6,44.690089265573135
Dominican Republic,3,44.0920808224034
Austria,3,43.477858915278276
Bolivia,3,43.18378524701105
Ivory Coast,3,43.059393509716095
Scotland,3,42.47421095033999
Cape Verde Islands,3,42.24239631336406
Russia,3,42.1129580097322
Nigeria,4,41.924146820921024
Georgia,3,40.67558119300055
USMNT,3,40.0081067319777
Egypt,3,39.969345493216466
Australia,3,39.65338532435307
Japan,3,39.55956946279527
Haiti,3,39.39546131288067
New Zealand,3,38.74579098321034
Slovenia,3,37.84888788630724
Ecuador,3,37.62904966001741
Cyprus,3,36.86781089877864
Uzbekistan,3,36.563191647062624
South Africa,3,36.428028745448096
Norway,3,36.10991073442686
Jordan,3,34.82697173793948
British Virgin Islands,3,34.184981470142766
Serbia,3,33.06025458412555
Guinea,3,32.89045019496633
Netherlands,3,31.601695079114435
Greece,3,31.45049015500629
Croatia,3,29.54266378782508
Zimbabwe,4,28.81301923882569
Finland,3,28.11081176887629
Andorra,4,26.40246205407496
Costa Rica,3,24.4615449067062
Curaçao,3,24.05337114498405
Ghana,4,23.92585479037092
Iceland,4,23.23403048564339
Saudi Arabia,3,23.133800393155234
Trinidad and Tobago,4,22.22398246914376
Tunisia,3,19.731914537075827
Liechtenstein,3,18.87371853952499
Grenada,4,11.807051013502626
FYR Macedonia,3,10.725906351712803
