common_name,matches_played,Defensive_DNA_Index
Republic of Ireland,3,87.94354838709677
Mexico,7,85.63379186077174
Spain,3,82.96028324997734
Canada,4,78.11591566762277
Austria,3,76.30705744352572
Algeria,3,75.72580645161291
Japan,3,74.87903225806451
Zimbabwe,4,72.18849631278407
Bolivia,3,71.38152902140426
Ivory Coast,3,71.34738002417089
Egypt,3,71.00806451612902
Morocco,4,70.93849631278405
Tunisia,3,70.25867034675154
South Africa,3,67.10050639670142
Kenya,3,63.76056127946879
Haiti,3,63.155722569791365
Russia,3,60.37346450527523
Andorra,4,60.26444566819281
Australia,3,59.40572256979135
South Korea,4,58.78609554541775
Montenegro,3,58.779538654765936
Belgium,3,57.90695800960466
Bulgaria,3,56.57631284831432
Germany,3,54.57292028431484
Georgia,3,53.31018381605625
Uzbekistan,3,52.82631284831434
Greece,3,52.10050639670143
FYR Macedonia,3,51.937436413347115
Norway,3,51.73760317089497
Netherlands,3,51.30695800960466
Ecuador,3,49.73437736444337
Scotland,3,49.129538654765945
Nigeria,4,47.374805222837104
Guinea,3,46.64227512302453
Senegal,3,45.50033963915355
Cape Verde Islands,3,44.11721075548592
Finland,3,41.93979140064721
Switzerland,3,41.57688817484076
British Virgin Islands,3,40.73011398129237
Liechtenstein,3,40.62244709832434
Brazil,3,40.29946882000205
France,3,40.11001705850839
Slovenia,3,39.9890493165729
Cyprus,3,39.86808157463743
Colombia,3,37.772447098324335
Croatia,3,31.724060001550146
Dominican Republic,3,31.421113933311467
Serbia,3,31.179178449440503
New Zealand,3,31.179178449440503
Panama,6,30.151479356388855
Iceland,4,29.062769678969502
Costa Rica,3,25.29498359695716
Jordan,3,24.37150233254153
USMNT,3,23.615789495627787
Ghana,4,23.110306276708165
Saudi Arabia,3,16.992470074477016
Curaçao,3,14.0581573270456
Trinidad and Tobago,4,8.668505945872345
Grenada,4,5.013115462685552
